split,b_obs,se_obs,t_obs,wcb_lo,wcb_hi,n0,p_ri_t,p_ri_b,p_floor
Asia,-.299719078336396,.2387152482423663,-1.255550621685016,-.9150253734299021,.2389101979473997,40,.8536585365853658,.3902439024390244,.024390243902439
Europe,-.0354561588932913,.1617186414605972,-.2192459605958921,-.2975893730613708,.3537257176837401,215,.9305555555555556,.9166666666666666,.0046296296296296
Left populists,-.1574331937792323,.0708395153890417,-2.2223923034288,-.3153988925708222,-.0010465387631137,346,.4178674351585014,.6628242074927954,.0028818443804035
Right populists,-.0066087104986118,.194197939039506,-.0340307962653887,-.6459001454449449,.3899396473708511,346,.9884726224783862,.9855907780979827,.0028818443804035
Fully Democratic Sample,-.1914266564355428,.1733536188317037,-1.104255323457567,-.5392948556315887,.152033543323491,304,.6491803278688525,.6032786885245902,.0032786885245902
Transitioning sample,-.109363935103246,.1436124693488946,-.7615211659480304,-.4419359995903145,.1710623091673615,304,.7737704918032787,.780327868852459,.0032786885245902
