year,iso,aco,ch,che,cheb,chech,chee,chefs,chenfd,cmp,dcsfd,dd1,dvc,dvp,dvpdp,dvt,emp,fca,icapt,lco,opprft,pi,revt,foreign,firms
2025,ARE,561.4819615384615,5224.953986486487,5470.781962025317,1882.098513157895,67.23485897435891,1925.820207792209,18259.55579710145,,,,714.3662788461538,971.2388039215687,,,971.2388039215687,6.576578947368422,1.787723404255321,18236.07111486486,3441.406012658229,,2203.096432432432,8128.933047297297,.027027028,148
2026,ARE,,25.2,,,,,25.2,,,,,,,,,,,268.7,,,45.5,69,0,1
1989,ARG,2465.976,2314.309,14975.906,,,,,,,,,,,,,,11745.825,399805.865,62245.45,,-13160.171,265030.869,0,1
1990,ARG,274313.746,29501.466,57143.76,,,,,,,,,,,,,,0,2729687.458,96990.20299999999,,106115.98,1937435.11,0,1
1991,ARG,4126.763,14836.98525,551826.84875,,,,,,,,0,553769.6529999999,,,553769.6529999999,17.458,-13856.5,8990741.44375,498874.8663333333,,669134.04325,4513438.12825,0,4
1992,ARG,4.4678,45.0525,96.1228,,,,,,0,,,69.57250000000001,0,0,69.57250000000001,11.4755,2.598333333333333,931.908,123.5883333333333,,107.0288333333333,770.8975,0,6
1993,ARG,6.629714285714285,59.991125,132.57,,,,,,0,,88.02,107.944,0,0,107.944,12.63566666666667,2.295625,1183.419125,160.0732,,149.387625,1094.07,0,8
1994,ARG,7.820599999999999,73.72636363636364,98.0633,76.0656,28.982,103.5888,,15.9,0,6.3735,23.7465,101.88575,0,0,101.88575,9.41,4.887636363636364,1167.465909090909,135.9978,,168.9987272727273,1130.520818181818,0,11
1995,ARG,8.693083333333334,54.51446153846154,70.25283333333333,79.51442857142857,-18.98214285714286,94.14999999999999,,,0,113.5126666666666,145.6025,114.5836,0,0,114.5836,6.478000000000001,13.16176923076923,1870.929461538462,128.3509166666667,,180.3834615384615,1328.571461538462,0,13
1996,ARG,7.359222222222223,28.43638095238096,68.61,55.36572727272726,29.33436363636364,76.90527272727273,69.3485,8.233000000000001,0,21.815,88.84871428571428,68.40500000000002,0,0,68.40500000000002,4.157,1.737904761904762,1413.691809523809,114.1625,,118.485380952381,981.4106666666667,0,21
1997,ARG,7.872999999999998,47.58621621621621,62.48676666666665,58.66500000000001,12.6365,85.29907142857144,66.931,-4.32175,0,7.412777777777777,88.11863636363637,52.03761538461538,0,0,52.03761538461538,4.0074,.4408918918918919,1234.025621621622,78.81233333333333,,117.0210810810811,748.4950810810815,0,37
1998,ARG,5.946025641025641,66.36260416666666,42.9929487179487,49.99268181818181,-7.345869565217391,42.23368181818181,57.12,-21.5655,0,22.0832,47.06228571428571,44.4284,1.125,0,41.20763636363636,2.168,-.1009555555555556,1132.438041666667,69.00610526315789,,82.33093749999996,639.2078749999999,0,48
1999,ARG,12.36469811320755,71.76859999999998,42.59075471698112,27.17380555555555,20.84051351351351,48.61744444444444,20.873,1.378,0,10.4151,47.50894117647059,38.15445454545455,.4444444444444444,0,35.30825,2.560285714285714,-.6565500000000001,881.5726153846153,50.86043396226416,,52.91810769230769,508.4330153846153,0,65
2000,ARG,4.493661290322581,154.3144729729729,49.53908064516128,56.46377777777776,.3083043478260873,56.70971111111111,43.20180000000001,-5.177333333333334,0,8.233333333333333,77.95400000000001,29.2247,0,0,29.2247,5.270166666666667,-.4926470588235294,978.7044189189193,60.10532258064516,,62.83413513513517,539.4389594594595,0,74
2001,ARG,6.678581967213113,48.1178219178082,39.82857377049179,42.70305555555555,-1.878404255319149,45.79222222222221,25.668,.68,0,0,25.01648780487805,7.096714285714286,0,0,5.519666666666667,2.73375,-1.57775,935.7654589041099,48.88092622950819,-.036,46.07218493150685,524.8186917808218,.01369863,73
2002,ARG,14.58754237288136,72.8851917808219,135.0469322033898,103.6347555555556,47.06397916666665,152.7085111111111,198.6868333333333,13.13516666666666,0,69.37299999999999,189.5039285714285,7.552833333333333,0,0,5.664625,1.979666666666667,-437.6878235294118,1821.467780821917,106.2274745762712,-.23,-385.5189589041096,1101.386534246575,.01369863,73
2003,ARG,13.16968965517242,111.1163333333333,218.7553275862069,146.3010192307692,62.45128301886793,209.9549230769231,232.4302857142857,24.9905,0,.785,115.6700394736842,.3857142857142857,0,0,.3375,1.0085,59.3806791044776,1818.270416666667,174.8822327586207,-2.297,157.0037708333334,1018.833722222222,.013888889,72
2004,ARG,20.13389655172415,131.8161666666666,253.7678448275862,200.2102280701755,25.89606896551724,230.6049464285714,122.9473333333333,,0,,79.1319523809524,36.46481818181817,0,0,36.46481818181817,3.752571428571429,-18.05066176470589,1839.834638888889,154.0126379310344,-3.072,162.9385555555556,1102.046208333333,.013888889,72
2005,ARG,8.648959016393441,122.4088815789474,152.2307213114754,233.7368559322035,-85.3524918032787,145.5061271186441,312.5475,,0,,81.54798913043479,73.79899999999999,0,0,38.17189655172413,5.004,9.746944444444445,2037.632125,157.272606557377,,260.214052631579,1293.242789473684,.013157895,76
2006,ARG,24.96138636363637,240.0012195121952,150.0341212121212,134.4539453125,3.69563846153846,138.20353125,548.58,,0,,23.42817000000001,69.1515,0,0,34.57575,4.468125,-6.693551282051283,1876.45881097561,144.5705757575757,,260.905286585366,1431.499152439024,.012195121,82
2007,ARG,24.58741379310344,155.9746133333333,175.8274310344828,145.3562280701754,3.820912280701754,148.5417894736843,1232.660882352941,,,,150.5290476190476,61.02139999999999,.003,0,58.1157619047619,8.244,-5.866695652173914,1975.556080000001,202.9256034482758,,266.41156,1804.531466666667,.013333334,75
2008,ARG,26.58916666666667,208.4543461538461,200.7400166666667,146.8603166666667,34.86978333333334,181.7300333333334,1601.381388888889,,,,250.911323076923,37.2502,.004,0,35.47657142857143,6.875249999999999,-29.56384285714286,1935.653615384616,248.4476999999999,,270.7777435897437,2129.98158974359,.012820513,78
2009,ARG,33.42208333333334,229.9725769230769,237.77795,173.8361166666666,47.75511666666667,221.5912666666666,1762.5855,,,,252.0332741935484,144.73092,,0,144.73092,6.2018,-38.5041971830986,1892.524615384616,246.4108500000001,,294.9473846153846,2112.600205128205,.012820513,78
2010,ARG,37.40000000000001,299.2536710526316,312.9127931034484,222.0852678571429,75.23892857142857,297.3241964285715,2359.895055555556,,,,241.5220819672132,148.2720344827586,.004,0,143.3297666666667,5.989999999999999,-9.529897058823529,1997.021868421052,298.5426034482758,,414.9990657894737,2492.057092105263,.013157895,76
2011,ARG,44.44412698412698,287.0627654320986,246.1960476190476,242.1413709677419,-13.64785483870968,228.4935967741935,2464.659833333333,,,,277.3082647058823,176.5855000000001,.004,0,168.1768571428572,6.586,-19.27398611111111,2023.015135802468,288.714380952381,,396.7495432098764,2909.636135802468,.012345679,81
2012,ARG,56.44738461538461,517.1049759036147,331.6143076923077,261.2379384615386,30.84250769230773,292.080446153846,3268.644555555556,,,,235.3651408450705,50.71633333333332,.004,,48.04726315789473,8.359,-7.381986486486485,2639.465506024097,335.4257846153845,,433.6401204819278,3572.442506024098,.012048192,83
2013,ARG,83.83190322580644,801.29924375,585.8667580645161,302.8046557377048,200.2068032786885,503.0114426229508,4745.208527777777,,,,314.2505303030302,96.60039130434781,.004,,92.57554166666665,7.123749999999999,4.883951388888895,3634.73225,452.5718709677421,,695.4796999999999,4645.284856249998,.0125,80
2014,ARG,142.2795333333333,750.8448589743591,458.9008833333335,477.7440333333334,-144.4079833333334,333.3360166666666,6037.812888888889,,,,409.408369230769,129.7738260869565,.004,,124.36675,4.618363636363636,1.574914285714308,4708.087500000001,623.1799166666667,,974.6547051282047,6359.525256410257,.012820513,78
2015,ARG,214.3737666666666,1265.877189873417,795.8770333333331,377.5678644067797,182.3915084745763,559.959406779661,10614.269,,,,633.2877014925374,193.7752,.007,,186.3225769230769,4.006681818181818,161.783985915493,7042.180303797468,882.4379830508475,,1364.368569620254,7929.55624050633,.012658228,79
2016,ARG,650.5819672131146,2121.116275,1443.097065573771,524.2885593220341,291.8726666666667,807.423133333333,19781.2572631579,,,,1613.136106060606,373.0319583333334,.01,,358.1110800000001,4.576416666666667,-32.60147945205478,12003.1248,1636.652967213115,,610.1247124999999,11645.719375,.0125,80
2017,ARG,712.0383,3290.911240506329,2520.014233333334,762.0897288135593,512.9304576271187,1275.020203389831,26908.33936842105,,,,1903.932578125,965.0469200000002,.006,,927.9299615384618,3.75744,-100.6310555555556,17861.62002531646,1706.624316666667,,1944.565493670886,15264.06026582279,.012658228,79
2018,ARG,654.061,9050.158013333334,3965.74056140351,1564.745333333333,1002.161473684211,2566.906807017545,63314.74388888889,,,,3053.206741379309,1409.977944444444,.009,,1335.769052631579,3.81504,-1118.510930555556,39559.72181333333,2301.525140350877,,4461.002693333334,28332.81946666665,.013333334,75
2019,ARG,925.2252727272726,11538.89731944445,6248.211636363637,3591.559636363635,806.5489454545456,4398.108545454546,78849.41035294117,,,,4960.271372881355,2774.4017,.017,,2522.18490909091,5.274923076923078,440.7618985507247,62722.68427777776,3223.713454545454,,4369.710777777777,46424.74808333334,.013888889,72
2020,ARG,2193.468461538462,18585.82664788732,7825.998730769229,5763.672352941174,-620.9439230769232,5254.66066,114825.7526315789,,,,7134.541275862071,634.183,.009,,507.3482,3.621111111111111,-106.2987058823529,80529.33976056341,4791.65423076923,,3451.838450704226,57663.68332394367,.014084507,71
2021,ARG,1695.870053571428,17518.26686666666,8358.363250000002,6783.783796296298,-2437.640285714287,4189.021981818181,188350.6673157895,,,,3900.184409836066,4030.7268,.014,,3358.941333333334,3.196833333333334,2045.621301369862,95341.50569333328,6028.877545454546,,7937.822946666665,84328.39109333337,.013333334,75
2022,ARG,4104.654354166666,55559.5277846154,18014.45156249999,7065.552425531916,1406.070583333332,8712.321978723405,330218.3295294117,,,,8972.54766037736,16103.8674,.012,,13419.8915,3.703684210526315,3756.467873015874,194691.7551076924,11426.71164583333,,12108.84201538461,203661.289676923,.015384615,65
